,squareMeters,price
0,75523,7559081.5
1,80771,8085989.5
2,55712,5574642.1
3,32316,3232561.2
4,70429,7055052.0
5,39223,3926647.2
6,58682,5876376.5
7,86929,8696869.3
8,51522,5154055.2
9,39686,3970892.1
10,23563,2366397.3
11,96470,9652258.1
12,19127,1914688.8
13,13087,1320803.4
14,79770,7986665.8
15,75985,7607322.9
16,64169,6420823.1
17,99371,9944705.3
18,25966,2604486.6
19,41792,4187667.7
20,28795,2888047.9
21,92383,9244344.0
22,33279,3333351.9
23,34782,3482594.0
24,13386,1342509.3
25,20883,2091505.8
26,95121,9515440.4
27,6071,612471.3
28,11844,1189939.3
29,52078,5217708.6
30,25897,2598763.3
31,85443,8555234.1
32,11412,1145642.9
33,97550,9765099.4
34,76485,7653300.8
35,26169,2622399.3
36,24239,2427801.8
37,36239,3627708.0
38,10500,1057021.3
39,87060,8711426.0
40,66683,6677649.1
41,66569,6667802.6
42,84559,8460604.0
43,28749,2877997.6
44,76091,7614076.6
45,92696,9272740.1
46,46988,4707341.1
47,48062,4809993.8
48,5767,586742.8
49,59800,5984462.1
50,54836,5492532.0
51,54318,5444967.8
52,70021,7005572.2
53,54368,5446398.1
54,31421,3147829.9
55,63053,6315375.7
56,4187,421906.4
57,33108,3316069.6
58,64393,6441378.0
59,93876,9390891.9
60,67040,6714247.3
61,47938,4797883.3
62,39090,3917691.0
63,43609,4364910.5
64,41998,4203344.0
65,36496,3656368.7
66,84016,8410054.6
67,3087,321717.5
68,89768,8980518.3
69,30226,3039243.7
70,58478,5853710.6
71,66621,6666403.5
72,73314,7336538.8
73,59972,6000826.1
74,71591,7165980.8
75,92462,9257840.9
76,52325,5238533.2
77,67311,6732249.0
78,45050,4508695.3
79,61534,6159875.1
80,84091,8414104.3
81,77579,7767797.9
82,25204,2530488.0
83,42059,4212125.7
84,38430,3846214.1
85,7069,709107.9
86,34780,3480536.9
87,12757,1277834.0
88,33749,3380855.9
89,600,63402.1
90,7239,733776.4
91,34919,3499532.7
92,25614,2563970.4
93,51434,5146226.2
94,78960,7900996.5
95,70751,7084110.6
96,81870,8198185.0
97,91559,9161130.7
98,72098,7216904.4
99,23177,2318776.3
100,39517,3953491.9
101,55232,5524015.1
102,53735,5384554.6
103,67753,6789580.5
104,1450,146181.8
105,82141,8225970.9
106,17868,1792308.3
107,71397,7145471.5
108,32623,3267852.3
109,23841,2390804.0
110,16495,1650711.1
111,39109,3917652.2
112,65151,6522781.1
113,61484,6154833.3
114,57160,5724102.2
115,13346,1336414.1
116,27351,2738851.7
117,18466,1849227.0
118,45441,4552319.4
119,55933,5599976.1
120,81936,8198107.1
121,18237,1833338.1
122,35631,3568002.8
123,99683,9977000.2
124,47664,4770073.0
125,62887,6293710.3
126,18470,1852115.0
127,36031,3612495.1
128,22776,2278599.3
129,14830,1487488.2
130,43944,4403326.2
131,73062,7313447.6
132,84284,8432554.8
133,9619,969806.1
134,11410,1150663.9
135,29855,2987645.0
136,46716,4674140.8
137,77046,7714235.2
138,58855,5892518.4
139,69165,6926290.9
140,57915,5800324.7
141,66279,6631365.3
142,16068,1611707.1
143,74325,7443433.4
144,35742,3581003.4
145,9026,904797.0
146,16899,1693690.0
147,99854,9989598.9
148,33743,3382812.6
149,72798,7290431.7
150,86492,8654049.2
151,38937,3901433.3
152,24762,2480900.9
153,91047,9109264.9
154,55527,5557814.5
155,70606,7070662.7
156,67327,6741466.0
157,6125,615143.2
158,71833,7185318.3
159,20811,2090690.5
160,7643,765618.9
161,16669,1676719.7
162,84006,8409827.0
163,34059,3412619.3
164,36131,3620939.1
165,8201,826967.7
166,38398,3842545.4
167,38833,3884619.4
168,41488,4151539.3
169,5205,521650.5
170,45066,4508367.3
171,63875,6394774.9
172,25052,2515214.0
173,51457,5150600.6
174,84396,8449333.5
175,64920,6501809.6
176,9166,922847.5
177,85558,8568781.7
178,87267,8731940.9
179,96091,9615021.9
180,38003,3803545.8
181,83120,8318749.5
182,20468,2049846.3
183,75152,7518709.8
184,32688,3274057.3
185,45868,4600708.4
186,73900,7394635.8
187,16000,1606948.7
188,1423,149234.3
189,29951,3002371.5
190,40231,4030226.9
191,59517,5958698.3
192,98969,9902968.3
193,99177,9919217.1
194,89157,8920282.9
195,67429,6749654.1
196,38431,3848467.0
197,72495,7259025.4
198,85362,8541211.7
199,28597,2863386.0
200,13687,1376329.1
201,50479,5057657.0
202,98121,9817494.5
203,57736,5775940.9
204,30356,3039209.2
205,21141,2126023.8
206,98122,9813433.9
207,34746,3478332.0
208,17297,1738971.2
209,80324,8039714.3
210,15815,1585031.9
211,1066,114605.7
212,79275,7930383.5
213,20658,2076936.7
214,8687,877525.3
215,69638,6977654.1
216,94036,9406163.1
217,60889,6091341.8
218,11680,1169431.2
219,11458,1154040.0
220,20397,2042985.7
221,83206,8326302.9
222,8951,904889.7
223,22854,2292467.1
224,46042,4605791.5
225,93506,9356982.7
226,58748,5875981.0
227,715,74252.0
228,55327,5540589.3
229,63631,6369055.0
230,77915,7793915.8
231,91804,9182083.9
232,57295,5731510.4
233,61057,6114671.8
234,91626,9169068.1
235,29356,2948071.0
236,27134,2715604.3
237,1682,174918.7
238,98868,9892300.1
239,23898,2399286.6
240,83110,8321631.1
241,71154,7122699.1
242,90841,9086177.3
243,68416,6846709.0
244,47585,4759724.3
245,28452,2850377.6
246,15630,1565985.6
247,65900,6605894.7
248,21600,2166421.0
249,74704,7472587.2
250,87291,8739254.7
251,96687,9673884.2
252,60567,6071330.9
253,4872,489455.0
254,9157,922102.9
255,65217,6531999.9
256,87346,8743241.0
257,47701,4773352.1
258,14766,1488265.1
259,94841,9498026.8
260,59318,5939275.2
261,1796,180265.7
262,96526,9661068.0
263,62876,6288117.6
264,59558,5967916.2
265,97008,9703551.4
266,66746,6678869.7
267,25776,2582235.2
268,96195,9626665.8
269,4805,486824.5
270,23045,2312202.0
271,95441,9554998.7
272,28381,2847241.9
273,15731,1582940.3
274,18966,1902151.9
275,24393,2449464.9
276,53339,5335546.3
277,44053,4413295.4
278,70898,7091863.4
279,84483,8452134.9
280,35716,3574932.3
281,64693,6471378.3
282,32593,3265750.6
283,1607,173112.0
284,39484,3954971.1
285,32458,3253846.5
286,72243,7229477.4
287,20624,2070369.6
288,7443,748338.5
289,78382,7840062.0
290,70614,7075926.0
291,32235,3225143.6
292,2523,260710.5
293,87864,8790481.9
294,18316,1832673.1
295,94471,9454072.1
296,60704,6080655.4
297,54020,5406334.3
298,59612,5967739.7
299,56467,5649094.0
300,65625,6567597.5
301,41570,4167932.4
302,44862,4493882.2
303,47212,4734236.1
304,2840,288797.4
305,40465,4052600.4
306,17191,1728829.5
307,56480,5653048.6
308,70503,7051701.1
309,4885,493693.3
310,58263,5840294.6
311,47647,4768169.2
312,57916,5792783.8
313,6396,643620.5
314,41972,4206464.5
315,94311,9439790.7
316,10714,1075982.6
317,11259,1134964.0
318,3534,359850.3
319,52680,5274696.1
320,62711,6272944.7
321,19268,1938014.0
322,36119,3620813.9
323,28394,2840816.3
324,20392,2046763.7
325,7259,735079.4
326,28183,2821593.3
327,92188,9227140.6
328,29815,2989048.5
329,50219,5025975.3
330,1722,182838.2
331,70399,7048784.3
332,28790,2883447.1
333,92962,9304587.0
334,34245,3430728.0
335,54677,5477618.6
336,74227,7427853.0
337,94939,9503765.9
338,48884,4895277.0
339,10638,1066200.6
340,90315,9044477.4
341,17633,1767487.3
342,63242,6327623.7
343,79344,7945562.1
344,72093,7223902.5
345,13378,1342476.1
346,47019,4706162.0
347,34666,3477313.2
348,93509,9361261.2
349,13583,1364589.5
350,19649,1970018.9
351,141,22670.7
352,22821,2289134.3
353,533,65465.1
354,67020,6711051.5
355,49094,4916616.1
356,25269,2530193.9
357,71989,7204744.3
358,73180,7325717.1
359,18926,1908217.8
360,6492,652565.8
361,98045,9814193.2
362,51589,5167451.8
363,24390,2446317.2
364,75890,7597786.1
365,29220,2929116.4
366,72433,7250644.1
367,57467,5749361.3
368,81482,8153070.7
369,61346,6141452.9
370,80915,8104297.2
371,65479,6552454.0
372,48302,4833604.7
373,76690,7682267.0
374,14447,1448447.2
375,24213,2431969.4
376,1843,189919.7
377,78183,7829898.7
378,99323,9939399.8
379,67491,6750826.7
380,2588,267798.6
381,76635,7669791.9
382,45070,4510977.7
383,62381,6243323.3
384,98543,9860222.2
385,13972,1397748.9
386,71567,7166917.2
387,36804,3681839.6
388,21297,2136801.5
389,9950,1000736.2
390,3661,372556.7
391,88102,8821018.6
392,72596,7262781.5
393,70763,7082373.5
394,12002,1203664.5
395,26146,2627462.1
396,13716,1382883.0
397,23281,2339782.0
398,3824,386574.9
399,56086,5615576.1
400,19014,1912984.9
401,80808,8085990.4
402,83602,8365162.1
403,99767,9985836.8
404,60675,6075733.2
405,20210,2029228.7
406,28694,2870499.1
407,45521,4554205.1
408,55727,5574845.6
409,17307,1740869.6
410,86474,8649993.4
411,6012,607323.3
412,6617,663333.0
413,34061,3407529.3
414,12881,1293712.6
415,48458,4851198.2
416,89618,8969519.6
417,10369,1044857.9
418,21865,2191960.3
419,30817,3086005.3
420,8808,888730.8
421,16006,1610901.0
422,70517,7052408.2
423,55592,5564877.1
424,10978,1103882.5
